# ==========================================================
# VladiMIR IP Blacklist — Full Database (CSV)
# Columns: ip,reason,source_server,date_added,source,duration
# Updated: 2026-06-10 15:55:01 | Total: 138 entries
# = Rooted by VladiMIR + AI | v.2026-06-10 | github.com/GinCz =
# ==========================================================
ip,reason,source_server,date_added,source,duration
45.156.87.93,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,52m27s
45.8.17.242,crowdsecurity/http-admin-interface-probing,222-EU-NetCup,2026-06-10,crowdsec,717h49m57s
45.88.138.44,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,717h49m46s
45.92.1.134,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,719h54m26s
46.151.182.58,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,718h31m35s
46.224.234.158,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m49s
50.44.81.238,crowdsecurity/ssh-bf,Alex-47,2026-06-10,crowdsec,2h5m25s
51.103.165.80,crowdsecurity/http-probing,109-RU-FirstVDS,2026-06-10,crowdsec,3h57m58s
51.68.107.148,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,717h58m31s
51.68.111.202,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,719h11m30s
51.68.111.204,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,717h19m47s
51.68.236.64,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,717h28m24s
51.68.236.69,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,717h11m15s
51.77.216.36,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,718h8m25s
5.253.246.158,crowdsecurity/http-wordpress-scan,109-RU-FirstVDS,2026-06-10,crowdsec,2h25m56s
62.60.130.182,crowdsecurity/http-probing,109-RU-FirstVDS,2026-06-10,crowdsec,2h11m29s
64.225.107.141,crowdsecurity/ssh-bf,SO-38,2026-06-10,crowdsec,3h4m2s
64.89.162.167,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,719h20m8s
64.89.162.172,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,717h33m57s
66.116.237.163,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,1h10m41s
66.116.237.163,crowdsecurity/ssh-bf,Shahin-227,2026-06-10,crowdsec,52m12s
72.13.46.7,crowdsecurity/http-bad-user-agent,109-RU-FirstVDS,2026-06-10,crowdsec,2h12m25s
72.13.46.9,crowdsecurity/http-bad-user-agent,109-RU-FirstVDS,2026-06-10,crowdsec,2h51m50s
72.14.147.231,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,20m46s
72.62.34.241,crowdsecurity/ssh-bf,ILYA-176,2026-06-10,crowdsec,2h7m7s
74.91.200.217,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,26m43s
77.243.184.68,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h54m48s
77.68.83.86,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,717h45m41s
85.190.254.132,crowdsecurity/ssh-bf,Tatra-9,2026-06-10,crowdsec,2h42m15s
85.215.107.193,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,719h4m0s
89.200.205.54,custom/high-volume-ban,222-EU-NetCup,2026-06-10,crowdsec,20h57m57s
91.151.88.131,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,22h53m50s
91.224.92.120,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,719h25m55s
91.92.40.204,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,22h45m25s
91.92.42.182,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,23h53m10s
91.92.43.134,crowdsecurity/CVE-2023-22515,109-RU-FirstVDS,2026-06-10,crowdsec,1h19m26s
91.92.43.180,crowdsecurity/CVE-2023-22515,109-RU-FirstVDS,2026-06-10,crowdsec,1h4m37s
91.92.43.182,crowdsecurity/CVE-2023-22515,109-RU-FirstVDS,2026-06-10,crowdsec,2h52m18s
91.92.43.186,crowdsecurity/CVE-2023-22515,109-RU-FirstVDS,2026-06-10,crowdsec,2h31m56s
92.118.39.236,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,2h10m46s
92.60.40.201,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h32m11s
92.60.40.216,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h17m20s
93.123.109.163,crowdsecurity/http-wordpress_wpconfig,109-RU-FirstVDS,2026-06-10,crowdsec,27m48s
93.94.141.115,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,2h33m36s
95.59.142.69,crowdsecurity/ssh-bf,Alex-47,2026-06-10,crowdsec,3h4m16s
